idPelicula,idGrupo
296,8
154,9
439,1
218,1
157,7
233,5
94,3
113,5
357,6
185,1
191,8
237,1
399,3
82,2
277,9
427,3
47,5
236,2
132,6
8,3
323,3
99,5
319,3
317,7
445,6
156,4
313,1
344,8
197,2
308,1
158,6
46,2
132,4
402,4
80,3
334,4
162,6
327,5
216,8
356,9
156,3
104,1
154,7
75,5
85,8
487,1
394,9
112,2
121,6
51,9
390,7
343,7
93,4
407,3
271,9
373,6
205,1
208,3
451,4
98,6
390,4
238,7
195,7
341,4
222,8
213,4
319,4
73,9
199,6
311,9
190,1
170,2
10,1
421,4
341,8
30,9
499,6
61,3
264,2
86,9
214,2
454,1
388,8
164,7
239,5
100,4
104,7
212,8
398,5
173,4
351,1
60,3
464,6
136,4
428,7
443,5
19,1
14,6
446,7
48,5
406,6
377,5
370,9
33,1
377,4
217,5
71,9
403,9
181,1
323,1
61,7
381,5
287,3
274,3
439,8
419,7
412,1
41,9
409,1
471,8
113,1
9,8
492,1
427,7
89,9
334,6
316,3
201,3
135,9
239,2
493,9
6,2
192,6
171,5
255,4
306,2
260,5
27,2
426,9
322,3
327,1
453,6
305,9
301,7
373,8
296,6
479,6
483,2
431,9
159,6
54,7
408,1
470,8
367,5
231,8
154,5
196,7
104,5
35,9
371,1
341,3
436,5
103,8
355,9
5,4
465,1
121,4
151,5
57,8
147,1
131,3
398,1
19,9
182,2
310,2
186,2
229,2
136,1
227,4
22,7
357,2
450,2
197,6
302,4
469,9
426,1
173,6
423,3
204,6
372,2
98,8
431,6
185,2
56,1
353,3
179,7
400,5
376,8
383,9
410,2
240,5
134,3
103,6
143,4
72,1
375,1
328,2
403,7
8,6
112,1
449,4
260,1
262,2
475,1
178,7
43,1
4,3
93,5
277,5
354,3
65,7
273,5
308,7
446,1
293,9
137,6
461,1
424,6
404,4
305,8
397,4
499,2
198,8
232,4
465,6
73,5
401,6
32,1
495,4
13,7
172,5
457,6
55,1
408,7
302,2
444,1
339,2
11,9
452,6
397,3
139,4
376,7
118,5
493,6
66,3
359,3
72,9
419,4
365,8
442,9
465,5
49,9
129,7
315,1
348,7
174,3
82,6
163,6
354,7
46,7
207,4
206,1
346,6
67,7
86,5
469,3
141,2
422,6
459,7
384,6
37,2
340,3
231,7
8,7
464,1
87,7
198,5
255,2
56,7
208,4
442,2
118,6
35,2
55,5
142,6
238,4
113,3
170,3
169,1
124,6
85,4
394,1
273,8
162,5
47,8
106,9
478,7
255,8
292,6
268,5
30,6
70,5
472,8
200,7
475,2
203,9
360,9
442,6
174,4
375,9
421,1
444,4
176,4
201,7
443,6
311,3
37,7
352,7
385,1
49,7
201,9
388,6
430,6
94,6
293,6
201,6
6,6
226,6
321,4
176,1
137,9
91,6
193,3
426,2
267,2
109,9
64,1
241,6
192,5
197,9
115,5
319,1
361,3
253,2
403,8
195,8
176,9
484,4
125,2
365,2
136,9
91,7
336,4
388,4
288,5
115,9
325,1
404,5
71,8
490,9
459,6
200,1
485,5
422,4
331,1
185,4
289,2
17,1
127,1
147,9
168,3
484,1
81,9
318,5
393,9
418,4
356,1
137,7
353,5
344,9
57,5
483,3
152,4
435,8
277,1
386,1
156,7
114,5
212,5
272,9
69,8
292,5
197,8
12,3
41,8
397,9
451,8
175,9
477,4
190,8
357,5
372,8
306,6
171,6
372,6
72,3
145,8
161,4
224,2
52,3
493,7
490,1
421,9
260,2
130,9
369,1
148,3
174,9
145,9
17,7
387,6
466,2
49,6
461,6
378,6
295,4
226,7
498,9
124,9
334,1
333,8
402,7
244,4
492,3
342,7
14,5
413,8
326,4
310,5
464,5
261,3
76,6
380,8
87,6
141,5
462,8
62,6
387,4
20,3
175,4
3,2
248,5
443,2
300,7
219,9
169,5
22,3
225,3
404,8
154,1
325,5
95,1
237,5
354,1
427,8
75,8
108,7
20,8
205,8
334,7
94,9
254,7
97,2
40,9
37,4
42,3
103,2
310,1
425,6
147,3
482,9
38,6
90,9
498,3
106,4
267,4
241,2
211,1
180,2
26,1
8,1
28,6
167,2
219,1
55,6
319,8
125,5
263,1
127,3
35,5
212,4
76,5
48,6
362,4
39,9
307,9
277,7
75,3
335,1
177,4
381,1
450,9
298,1
333,5
171,9
329,3
166,6
149,2
234,4
415,3
140,4
332,8
486,5
441,5
95,6
477,1
15,9
338,6
48,2
328,5
168,2
125,6
256,3
380,6
497,8
170,9
263,2
385,4
12,2
87,5
286,8
234,5
68,2
478,5
181,8
97,8
253,5
187,2
18,6
39,3
357,8
202,5
88,8
409,2
213,3
267,8
364,3
332,4
214,4
189,6
349,1
279,9
298,7
105,7
276,9
148,4
284,6
265,2
78,4
399,1
6,7
319,7
475,5
240,8
456,6
252,4
383,2
499,8
225,9
155,3
76,2
215,5
488,8
55,7
210,6
368,7
77,2
13,2
302,5
199,8
83,8
144,5
149,9
301,6
64,7
266,9
90,6
99,1
391,8
132,8
314,7
497,3
349,3
484,3
325,7
323,4
166,1
182,1
445,2
202,6
271,7
154,6
346,5
60,7
6,1
12,6
360,2
374,2
203,4
413,7
288,6
347,9
145,4
437,9
235,9
346,7
131,7
411,1
234,7
294,9
217,4
181,5
194,7
381,8
251,3
381,3
281,5
281,6
433,8
292,9
345,5
263,4
125,1
165,1
463,9
75,7
389,8
106,8
334,2
407,2
70,3
244,3
17,5
42,7
21,7
14,3
66,7
128,9
228,2
195,6
418,8
328,1
265,8
141,6
320,1
7,4
259,3
321,8
447,8
141,7
48,4
335,3
173,5
447,2
379,1
212,1
433,6
193,6
400,8
435,4
440,3
108,9
438,2
94,5
238,2
21,5
315,3
478,6
45,9
350,6
48,1
351,6
370,2
495,3
242,5
280,6
374,9
285,8
135,7
1,2
263,7
250,8
262,7
218,4
17,4
280,3
481,9
79,8
209,8
397,7
293,5
325,3
261,9
457,2
241,3
8,2
444,3
317,1
102,8
47,9
375,3
420,3
337,5
241,9
76,4
438,7
5,2
436,9
84,3
47,2
158,1
285,1
305,3
272,6
497,6
114,9
101,2
396,1
300,5
408,6
277,6
331,6
464,8
237,6
332,7
253,9
217,6
68,3
383,3
