idPelicula,idGuionista
1,1
2,4
3,3
4,5
5,5
6,4
7,4
8,3
9,2
10,3
11,2
12,5
13,2
14,3
15,2
16,3
17,5
18,3
19,2
20,1
21,4
22,4
23,1
24,1
25,3
26,4
27,5
28,1
29,3
30,4
31,2
32,5
33,4
34,2
35,3
36,3
37,4
38,2
39,2
40,3
41,2
42,4
43,2
44,4
45,4
46,1
47,5
48,2
49,4
50,4
51,1
52,3
53,5
54,5
55,3
56,1
57,5
58,5
59,4
60,2
61,5
62,5
63,4
64,2
65,5
66,3
67,3
68,1
69,4
70,2
71,5
72,2
73,4
74,3
75,4
76,2
77,2
78,5
79,1
80,4
81,5
82,3
83,3
84,5
85,4
86,2
87,1
88,4
89,4
90,1
91,3
92,1
93,4
94,3
95,2
96,4
97,5
98,5
99,2
100,5
101,4
102,2
103,3
104,4
105,1
106,1
107,2
108,2
109,4
110,2
111,5
112,2
113,1
114,4
115,5
116,2
117,5
118,3
119,1
120,5
121,2
122,5
123,4
124,2
125,5
126,2
127,3
128,4
129,4
130,3
131,3
132,3
133,2
134,2
135,3
136,4
137,4
138,3
139,3
140,3
141,3
142,1
143,1
144,5
145,2
146,2
147,2
148,2
149,2
150,5
151,2
152,5
153,2
154,2
155,2
156,5
157,5
158,3
159,5
160,2
161,1
162,2
163,2
164,1
165,2
166,4
167,2
168,4
169,3
170,5
171,3
172,2
173,4
174,4
175,3
176,2
177,1
178,3
179,1
180,1
181,2
182,5
183,1
184,4
185,5
186,3
187,4
188,5
189,3
190,5
191,4
192,4
193,5
194,2
195,3
196,4
197,1
198,2
199,3
200,5
201,3
202,1
203,5
204,3
205,5
206,2
207,5
208,5
209,1
210,4
211,4
212,4
213,5
214,2
215,3
216,1
217,4
218,2
219,4
220,5
221,5
222,3
223,1
224,5
225,5
226,5
227,3
228,3
229,3
230,3
231,4
232,4
233,3
234,4
235,5
236,5
237,1
238,1
239,5
240,3
241,5
242,3
243,3
244,1
245,1
246,1
247,1
248,1
249,3
250,4
251,2
252,5
253,3
254,3
255,1
256,1
257,1
258,4
259,4
260,4
261,2
262,5
263,2
264,4
265,4
266,5
267,5
268,4
269,4
270,4
271,5
272,4
273,4
274,1
275,1
276,2
277,2
278,3
279,3
280,5
281,2
282,3
283,3
284,1
285,3
286,4
287,3
288,4
289,1
290,3
291,2
292,4
293,3
294,1
295,5
296,1
297,4
298,4
299,5
300,2
301,4
302,3
303,1
304,1
305,1
306,1
307,5
308,5
309,2
310,2
311,2
312,1
313,3
314,4
315,2
316,3
317,1
318,4
319,1
320,1
321,2
322,5
323,1
324,5
325,2
326,1
327,4
328,2
329,1
330,2
331,2
332,4
333,1
334,1
335,5
336,3
337,2
338,4
339,3
340,4
341,3
342,3
343,5
344,2
345,4
346,1
347,5
348,3
349,3
350,5
351,4
352,5
353,4
354,5
355,5
356,1
357,3
358,4
359,1
360,3
361,5
362,4
363,1
364,3
365,2
366,4
367,5
368,5
369,4
370,5
371,3
372,4
373,1
374,4
375,3
376,1
377,2
378,5
379,1
380,2
381,5
382,2
383,1
384,5
385,4
386,2
387,4
388,3
389,5
390,5
391,2
392,5
393,3
394,3
395,1
396,4
397,5
398,5
399,3
400,2
401,4
402,5
403,5
404,3
405,3
406,2
407,3
408,1
409,4
410,5
411,2
412,4
413,4
414,5
415,2
416,1
417,4
418,4
419,1
420,1
421,4
422,5
423,2
424,1
425,1
426,5
427,3
428,4
429,1
430,4
431,1
432,2
433,4
434,5
435,1
436,2
437,2
438,4
439,5
440,4
441,2
442,5
443,2
444,1
445,5
446,3
447,4
448,5
449,4
450,2
451,5
452,5
453,5
454,2
455,4
456,5
457,2
458,3
459,3
460,1
461,1
462,2
463,3
464,4
465,5
466,2
467,1
468,5
469,5
470,3
471,5
472,4
473,3
474,3
475,1
476,3
477,2
478,3
479,5
480,5
481,4
482,5
483,1
484,5
485,3
486,1
487,4
488,2
489,1
490,1
491,2
492,3
493,3
494,4
495,3
496,1
497,4
498,1
499,5
500,1
501,3
502,5
503,2
504,2
505,4
506,2
507,5
508,1
509,1
510,5
511,5
512,2
513,2
514,5
515,2
516,5
517,3
518,5
519,2
520,1
521,2
522,3
523,1
524,5
525,4
526,4
527,2
528,3
529,1
530,3
531,3
532,2
533,1
534,4
535,1
536,3
537,3
538,5
539,3
540,1
541,3
542,4
543,2
544,5
545,1
546,3
547,1
548,5
549,2
550,3
551,4
552,5
553,4
554,2
555,4
556,1
557,4
558,3
559,1
560,3
561,3
562,5
563,2
564,3
565,2
566,4
567,4
568,5
569,1
570,3
571,3
572,2
573,4
574,5
575,5
576,3
577,1
578,5
579,5
580,1
581,5
582,1
583,1
584,3
585,4
586,1
587,1
588,2
589,1
590,2
591,3
592,4
593,1
594,2
595,5
596,3
597,3
598,2
599,1
600,1
601,5
602,2
603,2
604,3
605,1
606,4
607,5
608,3
609,5
610,3
611,4
612,4
613,3
614,2
615,5
616,4
617,4
618,2
619,2
620,5
621,5
622,2
623,2
624,3
625,3
626,5
627,1
628,3
629,3
630,2
631,3
632,3
633,5
634,4
635,4
636,2
637,4
638,5
639,2
640,1
641,5
642,5
643,4
644,2
645,5
646,5
647,2
648,5
649,5
650,5
651,3
652,4
653,2
654,2
655,1
656,1
657,3
658,2
659,4
660,2
661,4
662,2
663,1
664,5
665,3
666,5
667,1
668,1
669,2
670,2
671,3
672,1
673,2
674,2
675,5
676,5
677,4
678,1
679,2
680,2
681,5
682,3
683,5
684,2
685,3
686,2
687,4
688,3
689,4
690,4
691,1
692,2
693,4
694,5
695,5
696,5
697,3
698,2
699,2
700,5
701,1
702,5
703,1
704,1
705,2
706,5
707,3
708,2
709,5
710,1
711,1
712,2
713,3
714,4
715,4
716,2
717,1
718,2
719,2
720,1
721,1
722,3
723,4
724,2
725,4
726,3
727,3
728,1
729,4
730,1
731,4
732,1
733,5
734,5
735,4
736,1
737,5
738,2
739,2
740,1
741,5
742,5
743,4
744,2
745,5
746,3
747,3
748,5
749,4
750,4
751,1
752,5
753,4
754,2
755,3
756,1
757,5
758,2
759,2
760,4
761,2
762,5
763,5
764,5
765,4
766,1
767,1
768,5
769,4
770,1
771,4
772,5
773,2
774,2
775,2
776,4
777,4
778,1
779,1
780,1
781,1
782,2
783,3
784,4
785,4
786,5
787,4
788,4
789,5
790,1
791,4
792,1
793,1
794,1
795,3
796,3
797,5
798,1
799,4
800,5
801,5
802,5
803,3
804,1
805,3
806,3
807,2
808,2
809,2
810,4
811,1
812,5
813,1
814,1
815,1
816,4
817,3
818,5
819,2
820,2
821,5
822,3
823,2
824,3
825,4
826,5
827,3
828,3
829,5
830,3
831,5
832,4
833,3
834,5
835,2
836,3
837,3
838,4
839,3
840,1
841,3
842,1
843,2
844,4
845,4
846,4
847,1
848,5
849,4
850,5
851,2
852,1
853,1
854,3
855,5
856,3
857,1
858,3
859,5
860,4
861,3
862,1
863,2
864,4
865,5
866,4
867,1
868,5
869,4
870,5
871,2
872,1
873,3
874,4
875,1
876,1
877,3
878,3
879,2
880,4
881,1
882,1
883,4
884,3
885,4
886,1
887,2
888,3
889,5
890,5
891,3
892,3
893,1
894,5
895,2
896,1
897,5
898,1
899,3
900,3
901,5
902,3
903,1
904,2
905,3
906,5
907,5
908,1
909,4
910,1
911,4
912,1
913,1
914,2
915,1
916,4
917,3
918,5
919,3
920,2
921,1
922,5
923,3
924,2
925,5
926,2
927,3
928,2
929,3
930,4
931,3
932,1
933,5
934,3
935,3
936,3
937,5
938,4
939,4
940,2
941,4
942,4
943,1
944,3
945,3
946,5
947,3
948,1
949,2
950,1
951,4
952,1
953,3
954,5
955,5
956,5
957,4
958,2
959,1
960,5
961,4
962,3
963,2
964,3
965,3
966,5
967,4
968,1
969,5
970,2
971,3
972,2
973,1
974,3
975,1
976,1
977,1
978,1
979,3
980,2
981,2
982,5
983,5
984,5
985,1
986,5
987,1
988,5
989,2
990,1
991,4
992,3
993,2
994,3
995,4
996,3
997,4
998,3
999,4
1000,2
1001,4
1002,4
1003,5
1004,1
1005,1
1006,3
1007,1
1008,3
1009,3
1010,4
1011,4
1012,2
1013,3
1014,5
1015,4
1016,2
1017,4
1018,2
1019,1
1020,5
1021,3
1022,4
1023,4
1024,4
1025,1
1026,5
1027,5
1028,2
1029,4
1030,3
1031,3
1032,1
1033,4
1034,2
1035,2
1036,4
1037,1
1038,3
1039,4
1040,2
1041,2
1042,4
1043,1
1044,4
1045,3
1046,1
1047,5
1048,2
1049,5
1050,2
1051,3
1052,1
1053,5
1054,2
1055,4
1056,5
1057,5
1058,3
1059,1
1060,2
1061,3
1062,3
1063,3
1064,3
1065,3
1066,3
1067,3
1068,1
1069,3
1070,5
1071,3
1072,4
1073,4
1074,3
1075,4
1076,3
1077,4
1078,1
1079,4
1080,2
1081,2
1082,5
1083,4
1084,5
1085,4
1086,2
1087,1
1088,4
1089,3
1090,2
1091,4
1092,2
1093,2
1094,3
1095,3
1096,3
1097,3
1098,4
1099,1
1100,5
1101,1
1102,2
1103,4
1104,5
1105,4
1106,5
1107,2
1108,4
1109,4
1110,4
1111,5
1112,2
1113,1
1114,2
1115,4
1116,3
1117,3
1118,2
1119,4
1120,2
1121,3
1122,4
1123,3
1124,1
1125,1
1126,4
1127,4
1128,1
1129,5
1130,1
1131,1
1132,4
1133,5
1134,1
1135,2
1136,3
1137,4
1138,3
1139,3
1140,3
1141,1
1142,3
1143,4
1144,4
1145,4
1146,3
1147,2
1148,4
1149,1
1150,4
1151,3
1152,1
1153,5
1154,2
1155,5
1156,5
1157,1
1158,3
1159,3
1160,1
1161,2
1162,3
1163,1
1164,3
1165,3
1166,3
1167,5
1168,2
1169,2
1170,3
1171,3
1172,1
1173,3
1174,2
1175,5
1176,2
1177,5
1178,4
1179,4
1180,2
1181,2
1182,5
1183,1
1184,1
1185,1
1186,5
1187,4
1188,2
1189,1
1190,3
1191,1
1192,3
1193,5
1194,2
1195,2
1196,5
1197,4
1198,1
1199,1
1200,2
1201,1
1202,2
1203,5
1204,3
1205,4
1206,1
1207,1
1208,1
1209,2
1210,1
1211,2
1212,5
1213,4
1214,2
1215,2
1216,5
1217,2
1218,2
1219,4
1220,3
1221,1
1222,4
1223,4
1224,4
1225,3
1226,2
1227,5
1228,3
1229,2
1230,2
1231,4
1232,4
1233,2
1234,4
1235,3
1236,3
1237,5
1238,5
1239,4
1240,2
1241,2
1242,3
1243,2
1244,2
1245,2
1246,3
1247,3
1248,4
1249,5
1250,3
1251,4
1252,3
1253,1
1254,2
1255,3
1256,2
1257,3
1258,1
1259,2
1260,2
1261,2
1262,3
1263,1
1264,1
1265,3
1266,1
1267,2
1268,4
1269,4
1270,1
1271,3
1272,4
1273,3
1274,5
1275,2
1276,2
1277,1
1278,2
1279,1
1280,4
1281,5
1282,3
1283,4
1284,3
1285,3
1286,4
1287,3
1288,3
1289,5
1290,4
1291,4
1292,1
1293,1
1294,1
1295,2
1296,4
1297,5
1298,3
1299,1
1300,1
1301,4
1302,5
1303,5
1304,1
1305,1
1306,3
1307,1
1308,4
1309,4
1310,2
1311,1
1312,4
1313,5
1314,4
1315,1
1316,4
1317,5
1318,1
1319,3
1320,3
1321,2
1322,4
1323,4
1324,2
1325,3
1326,4
1327,2
1328,1
1329,1
1330,4
1331,5
1332,5
1333,4
1334,3
1335,1
1336,5
1337,3
1338,1
1339,3
1340,4
1341,2
1342,5
1343,3
1344,2
1345,3
1346,5
1347,3
1348,4
1349,3
1350,4
1351,3
1352,2
1353,4
1354,2
1355,5
1356,3
1357,2
1358,1
1359,1
1360,5
1361,1
1362,3
1363,1
1364,3
1365,3
1366,3
1367,3
1368,5
1369,3
1370,4
1371,4
1372,3
1373,5
1374,1
1375,3
1376,3
1377,3
1378,1
1379,5
1380,3
1381,5
1382,5
1383,3
1384,3
1385,3
1386,2
1387,2
1388,2
1389,1
1390,4
1391,3
1392,1
1393,3
1394,5
1395,1
1396,2
1397,2
1398,1
1399,1
1400,3
1401,2
1402,1
1403,2
1404,2
1405,5
1406,4
1407,2
1408,2
1409,4
1410,3
1411,4
1412,5
1413,2
1414,1
1415,2
1416,5
1417,4
1418,3
1419,4
1420,2
1421,5
1422,5
1423,2
1424,2
1425,3
1426,2
1427,3
1428,2
1429,4
1430,3
1431,3
1432,3
1433,1
1434,3
1435,4
1436,1
1437,5
1438,5
1439,5
1440,4
1441,5
1442,3
1443,2
1444,4
1445,3
1446,5
1447,2
1448,1
1449,1
1450,2
1451,4
1452,5
1453,1
1454,4
1455,1
1456,2
1457,4
1458,1
1459,3
1460,2
1461,4
1462,4
1463,1
1464,1
1465,2
1466,2
1467,4
1468,4
1469,4
1470,2
1471,3
1472,5
1473,5
1474,5
1475,1
1476,1
1477,4
1478,2
1479,2
1480,5
1481,4
1482,3
1483,4
1484,1
1485,3
1486,1
1487,3
1488,5
1489,2
1490,3
1491,5
1492,5
1493,4
1494,2
1495,4
1496,1
1497,3
1498,5
1499,5
1500,1
1501,2
1502,2
1503,3
1504,3
1505,1
1506,5
1507,2
1508,4
1509,2
1510,4
1511,4
1512,2
1513,2
1514,2
1515,4
1516,5
1517,5
1518,3
1519,5
1520,3
1521,1
1522,1
1523,1
1524,5
1525,3
1526,5
1527,5
1528,1
1529,4
1530,5
1531,1
1532,2
1533,2
1534,1
1535,5
1536,5
1537,3
1538,5
1539,5
1540,1
1541,2
1542,5
1543,3
1544,1
1545,1
1546,2
1547,3
1548,3
1549,1
1550,3
1551,4
1552,4
1553,1
1554,4
1555,3
1556,2
1557,3
1558,3
1559,5
1560,4
1561,4
1562,4
1563,1
1564,2
1565,5
1566,3
1567,3
1568,1
1569,1
1570,2
1571,5
1572,1
1573,3
1574,3
1575,1
1576,1
1577,3
1578,3
1579,3
1580,3
1581,4
1582,1
1583,3
1584,3
1585,4
1586,5
1587,4
1588,2
1589,1
1590,4
1591,4
1592,3
1593,4
1594,4
1595,3
1596,5
1597,3
1598,1
1599,2
1600,1
1601,2
1602,1
1603,5
1604,3
1605,5
1606,1
1607,1
1608,2
1609,2
1610,5
1611,2
1612,2
1613,1
1614,5
1615,2
1616,2
1617,2
1618,4
1619,1
1620,3
1621,1
1622,4
1623,1
1624,5
1625,3
1626,2
1627,1
1628,4
1629,4
1630,1
1631,3
1632,3
1633,3
1634,1
1635,1
1636,4
1637,2
1638,5
1639,2
1640,1
1641,5
1642,2
1643,2
1644,5
1645,2
1646,1
1647,3
1648,2
1649,5
1650,5
1651,3
1652,3
1653,2
1654,2
1655,4
1656,2
1657,4
1658,1
1659,4
1660,2
1661,2
1662,2
1663,2
1664,5
1665,5
1666,2
1667,2
1668,1
1669,5
1670,4
1671,5
1672,5
1673,5
1674,1
1675,5
1676,5
1677,5
1678,1
1679,5
1680,5
1681,3
1682,5
1683,3
1684,3
1685,3
1686,5
1687,4
1688,3
1689,1
1690,2
1691,5
1692,5
1693,2
1694,2
1695,5
1696,4
1697,3
1698,4
1699,4
1700,2
1701,4
1702,3
1703,3
1704,5
1705,2
1706,3
1707,2
1708,3
1709,5
1710,5
1711,5
1712,5
1713,3
1714,2
1715,2
1716,4
1717,4
1718,1
1719,5
1720,3
1721,4
1722,5
1723,1
1724,3
1725,1
1726,2
1727,3
1728,2
1729,3
1730,4
1731,2
1732,2
1733,3
1734,2
1735,2
1736,5
1737,1
1738,2
1739,3
1740,4
1741,4
1742,2
1743,2
1744,2
1745,2
1746,1
1747,1
1748,1
1749,2
1750,5
1751,4
1752,1
1753,4
1754,1
1755,5
1756,1
1757,2
1758,5
1759,2
1760,4
1761,2
1762,3
1763,2
1764,3
1765,4
1766,5
1767,4
1768,4
1769,2
1770,2
1771,2
1772,3
1773,4
1774,2
1775,3
1776,1
1777,5
1778,3
1779,1
1780,4
1781,3
1782,3
1783,3
1784,3
1785,3
1786,1
1787,5
1788,2
1789,1
1790,1
1791,2
1792,2
1793,4
1794,3
1795,3
1796,3
1797,4
1798,4
1799,1
1800,1
1801,4
1802,3
1803,2
1804,1
1805,5
1806,1
1807,4
1808,2
1809,1
1810,3
1811,1
1812,2
1813,1
1814,1
1815,2
1816,5
1817,2
1818,5
1819,3
1820,1
1821,1
1822,4
1823,1
1824,4
1825,4
1826,4
1827,5
1828,4
1829,3
1830,5
1831,2
1832,4
1833,3
1834,4
1835,3
1836,2
1837,3
1838,1
1839,3
1840,5
1841,2
1842,1
1843,5
1844,3
1845,5
1846,2
1847,2
1848,3
1849,5
1850,4
1851,3
1852,5
1853,4
1854,2
1855,5
1856,4
1857,5
1858,3
1859,5
1860,2
1861,1
1862,4
1863,2
1864,5
1865,1
1866,2
1867,4
1868,2
1869,4
1870,5
1871,2
1872,4
1873,4
1874,2
1875,2
1876,1
1877,1
1878,1
1879,1
1880,3
1881,2
1882,4
1883,2
1884,3
1885,1
1886,3
1887,5
1888,5
1889,4
1890,5
1891,4
1892,2
1893,4
1894,3
1895,5
1896,5
1897,1
1898,2
1899,1
1900,4
1901,5
1902,2
1903,5
1904,4
1905,3
1906,5
1907,1
1908,3
1909,4
1910,5
1911,2
1912,2
1913,4
1914,5
1915,3
1916,4
1917,5
1918,5
1919,4
1920,1
1921,1
1922,2
1923,1
1924,5
1925,1
1926,2
1927,4
1928,3
1929,1
1930,4
1931,2
1932,3
1933,1
1934,5
1935,1
1936,1
1937,3
1938,1
1939,5
1940,5
1941,4
1942,4
1943,5
1944,5
1945,5
1946,1
1947,3
1948,4
1949,4
1950,1
1951,4
1952,4
1953,1
1954,2
1955,2
1956,4
1957,3
1958,2
1959,4
1960,5
1961,4
1962,3
1963,5
1964,3
1965,1
1966,2
1967,1
1968,4
1969,3
1970,4
1971,4
1972,4
1973,1
1974,4
1975,5
1976,2
1977,5
1978,3
1979,4
1980,3
1981,2
1982,5
1983,3
1984,4
1985,4
1986,2
1987,3
1988,4
1989,2
1990,5
1991,3
1992,4
1993,3
1994,2
1995,4
1996,2
1997,3
1998,2
1999,3
2000,2
2001,5
2002,5
2003,1
2004,1
2005,3
2006,4
2007,2
2008,2
2009,4
2010,5
2011,1
2012,1
2013,2
2014,5
2015,1
2016,3
2017,2
2018,4
2019,5
2020,5
2021,1
2022,4
2023,5
2024,3
2025,1
2026,1
2027,5
2028,2
2029,4
2030,4
2031,2
2032,2
2033,2
2034,4
2035,3
2036,1
2037,3
2038,4
2039,2
2040,3
2041,1
2042,5
2043,5
2044,3
2045,2
2046,1
2047,5
2048,3
2049,4
2050,5
2051,4
2052,3
2053,3
2054,3
2055,3
2056,5
2057,2
2058,5
2059,3
2060,1
2061,2
2062,1
2063,2
2064,3
2065,1
2066,1
2067,4
2068,3
2069,4
2070,3
2071,5
2072,2
2073,3
2074,3
2075,3
2076,4
2077,3
2078,3
2079,5
2080,3
2081,2
2082,5
2083,4
2084,2
2085,2
2086,2
2087,3
2088,5
2089,5
2090,3
2091,4
2092,5
2093,2
2094,3
2095,3
2096,3
2097,5
2098,4
2099,1
2100,1
2101,5
2102,5
2103,2
2104,2
2105,3
2106,4
2107,4
2108,1
2109,1
2110,5
2111,1
2112,4
2113,1
2114,3
2115,4
2116,3
2117,4
2118,5
2119,5
2120,5
2121,4
2122,4
2123,5
2124,3
2125,4
2126,4
2127,4
2128,4
2129,3
2130,5
2131,2
2132,4
2133,4
2134,1
2135,3
2136,5
2137,1
2138,5
2139,5
2140,1
2141,5
2142,1
2143,1
2144,4
2145,4
2146,5
2147,3
2148,3
2149,5
2150,5
2151,2
2152,5
2153,5
2154,5
2155,5
2156,1
2157,5
2158,5
2159,3
2160,3
2161,3
2162,4
2163,4
2164,5
2165,1
2166,3
2167,5
2168,3
2169,3
2170,3
2171,3
2172,2
2173,4
2174,2
2175,3
2176,3
2177,2
2178,1
2179,5
2180,3
2181,4
2182,1
2183,3
2184,3
2185,1
2186,1
2187,2
2188,3
2189,5
2190,5
2191,1
2192,5
2193,2
2194,2
2195,2
2196,5
2197,4
2198,4
2199,3
2200,1
2201,2
2202,2
2203,5
2204,2
2205,4
2206,2
2207,2
2208,1
2209,4
2210,5
2211,4
2212,4
2213,1
2214,4
2215,5
2216,1
2217,3
2218,2
2219,1
2220,5
2221,4
2222,4
2223,5
2224,1
2225,3
2226,4
2227,5
2228,2
2229,1
2230,5
2231,1
2232,4
2233,1
2234,1
2235,5
2236,2
2237,1
2238,1
2239,3
2240,1
2241,1
2242,2
2243,2
2244,5
2245,2
2246,4
2247,2
2248,2
2249,5
2250,3
2251,5
2252,3
2253,2
2254,2
2255,4
2256,5
2257,3
2258,3
2259,1
2260,3
2261,1
2262,2
2263,1
2264,4
2265,2
2266,5
2267,4
2268,1
2269,5
2270,5
2271,2
2272,1
2273,2
2274,2
2275,3
2276,4
2277,1
2278,5
2279,1
2280,4
2281,1
2282,1
2283,5
2284,1
2285,4
2286,5
2287,4
2288,2
2289,5
2290,2
2291,4
2292,1
2293,2
2294,5
2295,5
2296,2
2297,2
2298,2
2299,3
2300,3
2301,4
2302,2
2303,5
2304,2
2305,2
2306,4
2307,4
2308,5
2309,4
2310,4
2311,2
2312,4
2313,1
2314,4
2315,1
2316,3
2317,4
2318,2
2319,1
2320,1
2321,4
2322,5
2323,1
2324,2
2325,3
2326,3
2327,2
2328,2
2329,1
2330,4
2331,3
2332,4
2333,2
2334,4
2335,5
2336,1
2337,3
2338,5
2339,5
2340,4
2341,3
2342,5
2343,3
2344,3
2345,2
2346,4
2347,4
2348,1
2349,5
2350,2
2351,5
2352,3
2353,5
2354,2
2355,2
2356,2
2357,2
2358,3
2359,3
2360,4
2361,5
2362,5
2363,2
2364,3
2365,3
2366,4
2367,4
2368,3
2369,5
2370,3
2371,4
2372,3
2373,2
2374,2
2375,1
2376,3
2377,3
2378,2
2379,4
2380,2
2381,3
2382,5
2383,2
2384,1
2385,1
2386,4
2387,4
2388,2
2389,1
2390,5
2391,5
2392,1
2393,2
2394,1
2395,3
2396,3
2397,1
2398,5
2399,3
2400,5
2401,1
2402,1
2403,1
2404,4
2405,3
2406,1
2407,4
2408,3
2409,2
2410,4
2411,1
2412,4
2413,2
2414,1
2415,3
2416,2
2417,4
2418,2
2419,4
2420,3
2421,4
2422,5
2423,3
2424,2
2425,4
2426,4
2427,1
2428,5
2429,2
2430,1
2431,3
2432,3
2433,4
2434,3
2435,1
2436,2
2437,4
2438,5
2439,1
2440,4
2441,2
2442,3
2443,3
2444,1
2445,4
2446,5
2447,3
2448,3
2449,5
2450,2
2451,5
2452,5
2453,4
2454,2
2455,1
2456,1
2457,5
2458,1
2459,2
2460,3
2461,4
2462,3
2463,1
2464,3
2465,1
2466,5
2467,2
2468,1
2469,4
2470,4
2471,1
2472,1
2473,3
2474,3
2475,4
2476,5
2477,5
2478,3
2479,5
2480,5
2481,4
2482,4
2483,2
2484,3
2485,3
2486,5
2487,4
2488,2
2489,1
2490,3
2491,5
2492,4
2493,5
2494,4
2495,2
2496,5
2497,1
2498,3
2499,2
2500,5
2501,3
2502,4
2503,5
2504,2
2505,1
2506,2
2507,2
2508,4
2509,1
2510,1
2511,5
2512,4
2513,2
2514,4
2515,4
2516,3
2517,2
2518,2
2519,1
2520,4
2521,3
2522,5
2523,4
2524,1
2525,2
2526,5
2527,4
2528,4
2529,5
2530,5
2531,4
2532,4
2533,4
2534,1
2535,4
2536,2
2537,2
2538,2
2539,1
2540,4
2541,2
2542,1
2543,3
2544,1
2545,5
2546,4
2547,2
2548,2
2549,4
2550,4
2551,1
2552,4
2553,5
2554,1
2555,2
2556,2
2557,4
2558,4
2559,2
2560,2
2561,4
2562,4
2563,1
2564,2
2565,1
2566,3
2567,2
2568,2
2569,2
2570,4
2571,3
2572,5
2573,3
2574,5
2575,1
2576,3
2577,1
2578,1
2579,3
2580,4
2581,2
2582,1
2583,1
2584,3
2585,3
2586,3
2587,4
2588,4
2589,1
2590,4
2591,5
2592,5
