idPersonaje,nombre,identidadHumana
0,Superman,
1,Batman,
2,Wonder Woman,James
3,Flash,
4,Green Lantern,Carol
5,Aquaman,Christopher
6,Cyborg,
7,Martian Manhunter,
8,Green Arrow,Karl
9,Black Canary,Kyle
10,Shazam,Jeffrey
11,Hawkman,
12,Hawkgirl,Steven
13,Zatanna,Miguel
14,Doctor Fate,
15,Plastic Man,James
16,Blue Beetle,Edward
17,Booster Gold,Andrew
18,Supergirl,
19,Batgirl,Nicole
20,Robin,
21,Nightwing,Alicia
22,Red Hood,
23,Starfire,Patrick
24,Raven,Paul
25,Beast Boy,
26,Kid Flash,Debra
27,Static Shock,
28,Vixen,
29,The Atom,Michelle
30,Firestorm,
31,Black Lightning,
32,Huntress,
33,Captain Atom,
34,Power Girl,
35,Steel,
36,Orion,Donna
37,Big Barda,Amy
38,John Constantine,Ashley
39,Green Lantern (John Stewart),
40,Green Lantern (Hal Jordan),Savannah
41,Green Lantern (Kyle Rayner),Sherri
42,Spider-Man,Rick
43,Iron Man,Jacqueline
44,Captain America,
45,Thor,Mary
46,Hulk,
47,Black Widow,
48,Hawkeye,
49,Scarlet Witch,
50,Vision,
51,Doctor Strange,Makayla
52,Black Panther,
53,Ant-Man,Sharon
54,Wasp,
55,Falcon,Melissa
56,Winter Soldier,Michael
57,War Machine,
58,Captain Marvel,
59,Star-Lord,
60,Gamora,
61,Drax,
62,Rocket Raccoon,Kara
63,Groot,Susan
64,Nebula,Jamie
65,Mantis,Rachel
66,Nick Fury,Brianna
67,She-Hulk,Michael
68,Moon Knight,
69,Daredevil,Jeffrey
70,Elektra,
71,Luke Cage,Kristin
72,Iron Fist,
73,Jessica Jones,Jessica
74,Punisher,Sheila
75,Ghost Rider,James
76,Silver Surfer,Dylan
77,Wolverine,Rebecca
78,Cyclops,
79,Jean Grey,Angela
80,Storm,
81,Beast,Krystal
82,Rogue,
83,Gambit,Scott
84,Colossus,
85,Iceman,Margaret
86,Nightcrawler,Alexandra
87,Professor X,Christy
88,Magneto,
89,Emma Frost,Deborah
90,Kitty Pryde,
91,Cable,Christopher
92,Domino,David
93,Deadpool,
94,X-23,
95,Jubilee,Cynthia
96,Namor,Michael
97,Blade,Nicholas
98,Squirrel Girl,
99,Ms. Marvel (Kamala Khan),Jonathan
100,Shang-Chi,Linda
101,America Chavez,Patrick
102,Nova,Amber
103,Ghost-Spider,Kathryn
104,Miles Morales,
105,Spider-Gwen,Judy
106,Spider-Woman,Lisa
107,Captain Britain,
108,Quicksilver,David
109,Human Torch,
110,Invisible Woman,Amy
111,Mister Fantastic,Kayla
112,Thing,Anthony
113,Medusa,
114,Black Bolt,
